Year,Team,Overall,Offense,Defense
2016,NE,87,89,91
2016,KC,85,81,93
2016,PIT,85,93,81
2016,CIN,84,87,87
2016,OAK,84,89,85
2016,BAL,83,85,83
2016,DEN,82,75,91
2016,TEN,82,85,85
2016,BUF,81,83,83
2016,LAC,81,83,85
2016,HOU,81,81,85
2016,IND,78,81,79
2016,JAX,78,81,81
2016,MIA,77,81,81
2016,NYJ,77,77,83
2016,CLE,73,75,77
2016,CAR,87,91,87
2016,GB,85,89,85
2016,SEA,85,83,89
2016,ARI,84,91,81
2016,DAL,84,89,83
2016,ATL,81,89,79
2016,MIN,81,81,87
2016,DET,80,81,83
2016,NYG,80,83,83
2016,PHI,80,83,83
2016,NO,80,83,79
2016,WAS,79,83,81
2016,TB,79,83,81
2016,LAR,78,79,81
2016,SF,75,75,79
2016,CHI,74,73,77
