Year,Team,Overall,Offense,Defense
2018,PHL,91,97,89
2018,NE,85,89,87
2018,PIT,84,89,81
2018,ATL,84,87,85
2018,LAR,84,85,87
2018,MIN,83,79,91
2018,DAL,83,87,83
2018,NO,83,85,85
2018,JAX,83,81,91
2018,OAK,83,87,83
2018,TEN,82,85,85
2018,GB,82,83,85
2018,WAS,82,87,83
2018,SEA,81,77,87
2018,KC,81,83,81
2018,LAC,80,83,83
2018,CAR,80,81,83
2018,SF,80,83,81
2018,BAL,80,77,85
2018,DEN,79,77,85
2018,DET,79,83,81
2018,HOU,79,75,89
2018,TB,77,79,81
2018,CLE,77,81,79
2018,CIN,77,77,83
2018,CHI,76,77,81
2018,MIA,76,81,77
2018,ARI,75,77,79
2018,BUF,75,75,81
2018,IND,75,81,75
2018,NYG,74,77,77
2018,NYJ,74,71,81
