Team,Team Mascot,Full Name,First Name,Last Name,Position,Overall,Season Year,Offense/Defense,Strength,Speed,Injury
SF,49ers ,Daniel Kilgore,Daniel,Kilgore,C,79,2015,Offense,89,60,88
SF,49ers ,Marcus Martin,Marcus,Martin,C,72,2015,Offense,82,64,83
SF,49ers ,Dillon Farrell,Dillon,Farrell,C,65,2015,Offense,84,68,92
SF,49ers ,Tramaine Brock,Tramaine,Brock,CB,80,2015,Defense,59,87,93
SF,49ers ,Chris Cook,Chris,Cook,CB,79,2015,Defense,60,87,74
SF,49ers ,Dontae Johnson,Dontae,Johnson,CB,74,2015,Defense,53,90,92
SF,49ers ,Shareece Wright,Shareece,Wright,CB,74,2015,Defense,54,89,85
SF,49ers ,Leon McFadden,Leon,McFadden,CB,71,2015,Defense,47,86,90
SF,49ers ,Keith Reaser,Keith,Reaser,CB,65,2015,Defense,65,91,76
SF,49ers ,Kenneth Acker,Kenneth,Acker,CB,64,2015,Defense,50,88,91
SF,49ers ,Marcus Cromartie,Marcus,Cromartie,CB,61,2015,Defense,54,91,90
SF,49ers ,Ian Williams,Ian,Williams,DT,80,2015,Defense,93,65,83
SF,49ers ,Glenn Dorsey,Glenn,Dorsey,DT,78,2015,Defense,86,64,88
SF,49ers ,Quinton Dial,Quinton,Dial,DT,76,2015,Defense,87,61,85
SF,49ers ,Bruce Miller,Bruce,Miller,FB,88,2015,Offense,78,81,93
SF,49ers ,Trey Millard,Trey,Millard,FB,65,2015,Offense,69,84,84
SF,49ers ,Eric Reid,Eric,Reid,FS,81,2015,Defense,63,87,90
SF,49ers ,Jimmie Ward,Jimmie,Ward,FS,73,2015,Defense,51,89,95
SF,49ers ,L.J. McCray,L.J.,McCray,FS,63,2015,Defense,73,88,88
SF,49ers ,Reggie Bush,Reggie,Bush,HB,80,2015,Offense,61,87,75
SF,49ers ,Carlos Hyde,Carlos,Hyde,HB,77,2015,Offense,78,85,92
SF,49ers ,Kendall Hunter,Kendall,Hunter,HB,74,2015,Offense,59,88,68
SF,49ers ,Mike Davis,Mike,Davis,HB,71,2015,Offense,69,88,77
SF,49ers ,Phil Dawson,Phil,Dawson,K,91,2015,Special Teams,20,55,85
SF,49ers ,Tank Carradine,Tank,Carradine,LE,77,2015,Defense,83,79,73
SF,49ers ,Tony Jerod-Eddie,Tony,Jerod-Eddie,LE,76,2015,Defense,83,65,91
SF,49ers ,Arik Armstead,Arik,Armstead,LE,72,2015,Defense,85,69,87
SF,49ers ,Kaleb Ramsey,Kaleb,Ramsey,LE,64,2015,Defense,94,64,72
SF,49ers ,Brandon Thomas,Brandon,Thomas,LG,73,2015,Offense,93,69,76
SF,49ers ,Trent Brown,Trent,Brown,LG,60,2015,Offense,90,63,85
SF,49ers ,Ahmad Brooks,Ahmad,Brooks,LOLB,80,2015,Defense,84,78,87
SF,49ers ,Aaron Lynch,Aaron,Lynch,LOLB,79,2015,Defense,76,82,88
SF,49ers ,Joe Staley,Joe,Staley,LT,94,2015,Offense,88,74,91
SF,49ers ,NaVorro Bowman,NaVorro,Bowman,MLB,93,2015,Defense,79,82,87
SF,49ers ,Desmond Bishop,Desmond,Bishop,MLB,76,2015,Defense,83,74,84
SF,49ers ,Philip Wheeler,Philip,Wheeler,MLB,76,2015,Defense,74,79,92
SF,49ers ,Michael Wilhoite,Michael,Wilhoite,MLB,75,2015,Defense,72,79,90
SF,49ers ,Nick Moody,Nick,Moody,MLB,68,2015,Defense,65,81,77
SF,49ers ,Nick Bellore,Nick,Bellore,MLB,67,2015,Defense,77,78,87
SF,49ers ,Bradley Pinion,Bradley,Pinion,P,51,2015,Special Teams,55,66,92
SF,49ers ,Colin Kaepernick,Colin,Kaepernick,QB,81,2015,Offense,63,85,95
SF,49ers ,Blaine Gabbert,Blaine,Gabbert,QB,72,2015,Offense,60,83,90
SF,49ers ,Dylan Thompson,Dylan,Thompson,QB,64,2015,Offense,55,81,90
SF,49ers ,Darnell Dockett,Darnell,Dockett,RE,82,2015,Defense,90,65,90
SF,49ers ,Lawrence Okoye,Lawrence,Okoye,RE,50,2015,Defense,85,76,90
SF,49ers ,Alex Boone,Alex,Boone,RG,88,2015,Offense,90,63,90
SF,49ers ,Joe Looney,Joe,Looney,RG,68,2015,Offense,82,70,85
SF,49ers ,Andrew Tiller,Andrew,Tiller,RG,63,2015,Offense,79,54,91
SF,49ers ,Aldon Smith,Aldon,Smith,ROLB,89,2015,Defense,86,81,88
SF,49ers ,Corey Lemonier,Corey,Lemonier,ROLB,71,2015,Defense,72,84,90
SF,49ers ,Eli Harold,Eli,Harold,ROLB,66,2015,Defense,77,86,92
SF,49ers ,Erik Pears,Erik,Pears,RT,72,2015,Offense,86,62,93
SF,49ers ,Ian Silberman,Ian,Silberman,RT,64,2015,Offense,81,68,87
SF,49ers ,Antoine Bethea,Antoine,Bethea,SS,91,2015,Defense,66,87,96
SF,49ers ,Craig Dahl,Craig,Dahl,SS,74,2015,Defense,62,83,90
SF,49ers ,Jaquiski Tartt,Jaquiski,Tartt,SS,69,2015,Defense,65,89,92
