Year,Team,Team Mascot,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoff Rank
2018,NO,Saints,13,3,0,0.813,504,353,151,9.4,0.6,10.1,7.9,2.2,3
2018,LAR,Rams,13,3,0,0.813,527,384,143,8.9,-0.4,8.5,9.5,-1.1,2
2018,KC,Chiefs,12,4,0,0.75,565,421,144,9,-0.1,8.9,12.6,-3.8,3
2018,LAC,Chargers,12,4,0,0.75,428,329,99,6.2,-0.2,6,3,2.9,4
2018,CHI,Bears,12,4,0,0.75,421,283,138,8.6,-2.3,6.3,1.5,4.8,5
2018,NE,Patriots,11,5,0,0.688,436,325,111,6.9,-1.8,5.2,3.1,2.1,1
2018,HOU,Texans,11,5,0,0.688,402,316,86,5.4,-1.5,3.8,2.4,1.4,5
2018,BAL,Ravens,10,6,0,0.625,389,287,102,6.4,0.6,7,0.6,6.4,5
2018,IND,Colts,10,6,0,0.625,433,344,89,5.6,-2.2,3.4,3.9,-0.6,4
2018,DAL,Cowboys,10,6,0,0.625,339,324,15,0.9,0.2,1.1,-1.9,2.9,4
2018,SEA,Seahawks,10,6,0,0.625,428,347,81,5.1,-0.6,4.5,3,1.5,5
2018,PIT,Steelers,9,6,1,0.594,428,360,68,4.3,1.3,5.6,3.9,1.7,
2018,TEN,Titans,9,7,0,0.563,310,303,7,0.4,-0.2,0.2,-3.2,3.5,
2018,PHL,Eagles,9,7,0,0.563,367,348,19,1.2,0.5,1.7,0,1.8,4
2018,MIN,Vikings,8,7,1,0.531,360,341,19,1.2,-0.6,0.6,-1.2,1.8,
2018,CLE,Browns,7,8,1,0.469,359,392,-33,-2.1,1.7,-0.3,-1,0.6,
2018,MIA,Dolphins,7,9,0,0.438,319,433,-114,-7.1,-1.7,-8.8,-3.6,-5.2,
2018,WAS,Redskins,7,9,0,0.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6,
2018,ATL,Falcons,7,9,0,0.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6,
2018,CAR,Panthers,7,9,0,0.438,376,382,-6,-0.4,1.3,0.9,0.1,0.8,
2018,GB,Packers,6,9,1,0.406,376,400,-24,-1.5,-1.2,-2.7,0,-2.7,
2018,BUF,Bills,6,10,0,0.375,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6,
2018,CIN,Bengals,6,10,0,0.375,368,455,-87,-5.4,2,-3.4,0,-3.4,
2018,DEN,Broncos,6,10,0,0.375,329,349,-20,-1.3,0.7,-0.5,-3.6,3.1,
