Year,Team,Overall,Offense ,Defense,,
2017,NE,93,92,91,,
2017,GB,88,90,90,,
2017,ATL,91,89,89,,
2017,PIT,88,89,89,,
2017,DAL,89,88,88,,
2017,NO,84,87,88,,
2017,OAK,86,86,87,,
2017,TEN,85,86,87,,
2017,SEA,86,85,86,,
2017,NYG,84,85,86,,
2017,DET,81,84,85,,
2017,CAR,79,84,85,,
2017,ARI,82,83,84,,
2017,IND,82,83,84,,
2017,KC,87,82,83,,
2017,MIA,83,82,82,,
2017,PHI,78,82,82,,
2017,TB,81,81,81,,
2017,WAS,80,81,81,,
2017,BUF,83,80,80,,
2017,DEN,82,80,80,,
2017,LAC,80,80,80,,
2017,BAL,80,80,79,,
2017,CIN,78,79,79,,
2017,MIN,78,79,79,,
2017,JAX,77,79,78,,
2017,CHI,77,78,78,,
2017,HOU,79,77,78,,
2017,CLE,76,76,77,,
2017,SF,76,75,77,,
2017,LAR,75,74,76,,
2017,NYJ,75,73,75,,
